REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,Reidville,2021A00051005009,Unemployment rate,15 to 24 years,186.8.2,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,15 to 19 years,186.8.3,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,20 to 24 years,186.8.4,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,25 to 64 years,186.8.5,9.8,,17.6,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,25 to 54 years,186.8.6,9.1,,15.4,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,25 to 34 years,186.8.7,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,25 to 29 years,186.8.8,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,30 to 34 years,186.8.9,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,35 to 44 years,186.8.10,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,45 to 54 years,186.8.11,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,55 to 64 years,186.8.12,0.0,,0.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,65 years and over,186.8.13,50.0,,50.0,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,65 to 74 years,186.8.14,66.7,,66.7,,0.0,
2021,Reidville,2021A00051005009,Unemployment rate,75 years and over,186.8.15,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,Total - Age,187.1.1,635,,320,,315,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,15 to 24 years,187.1.2,45,,25,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,15 to 19 years,187.1.3,35,,20,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,20 to 24 years,187.1.4,15,,10,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,25 to 64 years,187.1.5,480,,245,,230,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,25 to 54 years,187.1.6,320,,160,,155,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,25 to 34 years,187.1.7,50,,25,,25,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,25 to 29 years,187.1.8,15,,10,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,30 to 34 years,187.1.9,40,,10,,25,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,35 to 44 years,187.1.10,130,,70,,60,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,45 to 54 years,187.1.11,135,,70,,70,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,55 to 64 years,187.1.12,160,,80,,75,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,65 years and over,187.1.13,110,,50,,60,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,65 to 74 years,187.1.14,75,,35,,45,
2021,"Division No.  5, Subd. F",2021A00051005010,Total - Labour force status,75 years and over,187.1.15,35,,15,,20,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,Total - Age,187.2.1,410,,210,,200,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,15 to 24 years,187.2.2,30,,20,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,15 to 19 years,187.2.3,15,,10,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,20 to 24 years,187.2.4,15,,10,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,25 to 64 years,187.2.5,350,,180,,170,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,25 to 54 years,187.2.6,255,,135,,120,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,25 to 34 years,187.2.7,35,,20,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,25 to 29 years,187.2.8,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,30 to 34 years,187.2.9,30,,10,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,35 to 44 years,187.2.10,100,,55,,45,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,45 to 54 years,187.2.11,120,,60,,60,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,55 to 64 years,187.2.12,90,,45,,50,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,65 years and over,187.2.13,35,,15,,25,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,65 to 74 years,187.2.14,30,,15,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,In the labour force,75 years and over,187.2.15,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,Total - Age,187.3.1,335,,160,,180,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,15 to 24 years,187.3.2,20,,15,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,15 to 19 years,187.3.3,15,,10,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,20 to 24 years,187.3.4,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,25 to 64 years,187.3.5,285,,130,,150,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,25 to 54 years,187.3.6,205,,100,,110,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,25 to 34 years,187.3.7,35,,20,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,25 to 29 years,187.3.8,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,30 to 34 years,187.3.9,20,,10,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,35 to 44 years,187.3.10,80,,40,,35,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,45 to 54 years,187.3.11,95,,35,,60,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,55 to 64 years,187.3.12,75,,35,,40,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,65 years and over,187.3.13,35,,15,,25,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,65 to 74 years,187.3.14,30,,15,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,Employed,75 years and over,187.3.15,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,Total - Age,187.4.1,70,,50,,25,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,15 to 24 years,187.4.2,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,15 to 19 years,187.4.3,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,20 to 24 years,187.4.4,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,25 to 64 years,187.4.5,65,,50,,20,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,25 to 54 years,187.4.6,50,,40,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,25 to 34 years,187.4.7,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,25 to 29 years,187.4.8,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,30 to 34 years,187.4.9,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,35 to 44 years,187.4.10,20,,15,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,45 to 54 years,187.4.11,25,,25,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,55 to 64 years,187.4.12,15,,10,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,65 years and over,187.4.13,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,65 to 74 years,187.4.14,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployed,75 years and over,187.4.15,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,Total - Age,187.5.1,225,,110,,110,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,15 to 24 years,187.5.2,20,,10,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,15 to 19 years,187.5.3,20,,10,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,20 to 24 years,187.5.4,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,25 to 64 years,187.5.5,125,,65,,60,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,25 to 54 years,187.5.6,60,,25,,35,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,25 to 34 years,187.5.7,15,,0,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,25 to 29 years,187.5.8,0,,0,,0,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,30 to 34 years,187.5.9,10,,0,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,35 to 44 years,187.5.10,35,,15,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,45 to 54 years,187.5.11,20,,0,,10,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,55 to 64 years,187.5.12,65,,40,,25,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,65 years and over,187.5.13,80,,40,,40,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,65 to 74 years,187.5.14,45,,20,,25,
2021,"Division No.  5, Subd. F",2021A00051005010,Not in the labour force,75 years and over,187.5.15,30,,15,,15,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,Total - Age,187.6.1,64.6,,65.6,,63.5,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,15 to 24 years,187.6.2,66.7,,80.0,,66.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,15 to 19 years,187.6.3,42.9,,50.0,,66.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,20 to 24 years,187.6.4,100.0,,100.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,25 to 64 years,187.6.5,72.9,,73.5,,73.9,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,25 to 54 years,187.6.6,79.7,,84.4,,77.4,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,25 to 34 years,187.6.7,70.0,,80.0,,60.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,25 to 29 years,187.6.8,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,30 to 34 years,187.6.9,75.0,,100.0,,60.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,35 to 44 years,187.6.10,76.9,,78.6,,75.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,45 to 54 years,187.6.11,88.9,,85.7,,85.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,55 to 64 years,187.6.12,56.3,,56.3,,66.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,65 years and over,187.6.13,31.8,,30.0,,41.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,65 to 74 years,187.6.14,40.0,,42.9,,33.3,
2021,"Division No.  5, Subd. F",2021A00051005010,Participation rate,75 years and over,187.6.15,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,Total - Age,187.7.1,52.8,,50.0,,57.1,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,15 to 24 years,187.7.2,44.4,,60.0,,66.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,15 to 19 years,187.7.3,42.9,,50.0,,66.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,20 to 24 years,187.7.4,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,25 to 64 years,187.7.5,59.4,,53.1,,65.2,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,25 to 54 years,187.7.6,64.1,,62.5,,71.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,25 to 34 years,187.7.7,70.0,,80.0,,60.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,25 to 29 years,187.7.8,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,30 to 34 years,187.7.9,50.0,,100.0,,40.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,35 to 44 years,187.7.10,61.5,,57.1,,58.3,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,45 to 54 years,187.7.11,70.4,,50.0,,85.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,55 to 64 years,187.7.12,46.9,,43.8,,53.3,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,65 years and over,187.7.13,31.8,,30.0,,41.7,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,65 to 74 years,187.7.14,40.0,,42.9,,33.3,
2021,"Division No.  5, Subd. F",2021A00051005010,Employment rate,75 years and over,187.7.15,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,Total - Age,187.8.1,17.1,,23.8,,12.5,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,15 to 24 years,187.8.2,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,15 to 19 years,187.8.3,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,20 to 24 years,187.8.4,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,25 to 64 years,187.8.5,18.6,,27.8,,11.8,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,25 to 54 years,187.8.6,19.6,,29.6,,8.3,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,25 to 34 years,187.8.7,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,25 to 29 years,187.8.8,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,30 to 34 years,187.8.9,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,35 to 44 years,187.8.10,20.0,,27.3,,22.2,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,45 to 54 years,187.8.11,20.8,,41.7,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,55 to 64 years,187.8.12,16.7,,22.2,,20.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,65 years and over,187.8.13,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,65 to 74 years,187.8.14,0.0,,0.0,,0.0,
2021,"Division No.  5, Subd. F",2021A00051005010,Unemployment rate,75 years and over,187.8.15,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Total - Labour force status,Total - Age,188.1.1,355,,165,,195,
2021,Steady Brook,2021A00051005011,Total - Labour force status,15 to 24 years,188.1.2,30,,0,,25,
2021,Steady Brook,2021A00051005011,Total - Labour force status,15 to 19 years,188.1.3,15,,0,,15,
2021,Steady Brook,2021A00051005011,Total - Labour force status,20 to 24 years,188.1.4,10,,0,,10,
2021,Steady Brook,2021A00051005011,Total - Labour force status,25 to 64 years,188.1.5,185,,80,,100,
2021,Steady Brook,2021A00051005011,Total - Labour force status,25 to 54 years,188.1.6,115,,55,,60,
2021,Steady Brook,2021A00051005011,Total - Labour force status,25 to 34 years,188.1.7,30,,15,,10,
2021,Steady Brook,2021A00051005011,Total - Labour force status,25 to 29 years,188.1.8,20,,15,,0,
2021,Steady Brook,2021A00051005011,Total - Labour force status,30 to 34 years,188.1.9,10,,0,,10,
2021,Steady Brook,2021A00051005011,Total - Labour force status,35 to 44 years,188.1.10,45,,25,,20,
2021,Steady Brook,2021A00051005011,Total - Labour force status,45 to 54 years,188.1.11,45,,20,,25,
2021,Steady Brook,2021A00051005011,Total - Labour force status,55 to 64 years,188.1.12,65,,25,,45,
2021,Steady Brook,2021A00051005011,Total - Labour force status,65 years and over,188.1.13,140,,75,,60,
2021,Steady Brook,2021A00051005011,Total - Labour force status,65 to 74 years,188.1.14,100,,55,,40,
2021,Steady Brook,2021A00051005011,Total - Labour force status,75 years and over,188.1.15,40,,25,,20,
2021,Steady Brook,2021A00051005011,In the labour force,Total - Age,188.2.1,195,,95,,105,
2021,Steady Brook,2021A00051005011,In the labour force,15 to 24 years,188.2.2,20,,0,,15,
2021,Steady Brook,2021A00051005011,In the labour force,15 to 19 years,188.2.3,15,,0,,10,
2021,Steady Brook,2021A00051005011,In the labour force,20 to 24 years,188.2.4,10,,0,,10,
2021,Steady Brook,2021A00051005011,In the labour force,25 to 64 years,188.2.5,140,,65,,70,
2021,Steady Brook,2021A00051005011,In the labour force,25 to 54 years,188.2.6,100,,50,,55,
2021,Steady Brook,2021A00051005011,In the labour force,25 to 34 years,188.2.7,20,,10,,10,
2021,Steady Brook,2021A00051005011,In the labour force,25 to 29 years,188.2.8,10,,10,,0,
2021,Steady Brook,2021A00051005011,In the labour force,30 to 34 years,188.2.9,10,,0,,10,
2021,Steady Brook,2021A00051005011,In the labour force,35 to 44 years,188.2.10,45,,25,,20,
2021,Steady Brook,2021A00051005011,In the labour force,45 to 54 years,188.2.11,40,,15,,25,
2021,Steady Brook,2021A00051005011,In the labour force,55 to 64 years,188.2.12,35,,20,,20,
2021,Steady Brook,2021A00051005011,In the labour force,65 years and over,188.2.13,30,,20,,10,
2021,Steady Brook,2021A00051005011,In the labour force,65 to 74 years,188.2.14,25,,15,,10,
2021,Steady Brook,2021A00051005011,In the labour force,75 years and over,188.2.15,0,,0,,0,
2021,Steady Brook,2021A00051005011,Employed,Total - Age,188.3.1,175,,80,,95,
2021,Steady Brook,2021A00051005011,Employed,15 to 24 years,188.3.2,15,,0,,15,
2021,Steady Brook,2021A00051005011,Employed,15 to 19 years,188.3.3,10,,0,,10,
2021,Steady Brook,2021A00051005011,Employed,20 to 24 years,188.3.4,10,,0,,10,
2021,Steady Brook,2021A00051005011,Employed,25 to 64 years,188.3.5,130,,60,,65,
2021,Steady Brook,2021A00051005011,Employed,25 to 54 years,188.3.6,95,,45,,50,
2021,Steady Brook,2021A00051005011,Employed,25 to 34 years,188.3.7,20,,10,,10,
2021,Steady Brook,2021A00051005011,Employed,25 to 29 years,188.3.8,10,,10,,0,
2021,Steady Brook,2021A00051005011,Employed,30 to 34 years,188.3.9,10,,0,,10,
2021,Steady Brook,2021A00051005011,Employed,35 to 44 years,188.3.10,35,,20,,15,
2021,Steady Brook,2021A00051005011,Employed,45 to 54 years,188.3.11,40,,15,,25,
2021,Steady Brook,2021A00051005011,Employed,55 to 64 years,188.3.12,35,,20,,20,
2021,Steady Brook,2021A00051005011,Employed,65 years and over,188.3.13,25,,15,,10,
2021,Steady Brook,2021A00051005011,Employed,65 to 74 years,188.3.14,20,,10,,10,
2021,Steady Brook,2021A00051005011,Employed,75 years and over,188.3.15,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,Total - Age,188.4.1,25,,15,,0,
2021,Steady Brook,2021A00051005011,Unemployed,15 to 24 years,188.4.2,10,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,15 to 19 years,188.4.3,10,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,20 to 24 years,188.4.4,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,25 to 64 years,188.4.5,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,25 to 54 years,188.4.6,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,25 to 34 years,188.4.7,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,25 to 29 years,188.4.8,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,30 to 34 years,188.4.9,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,35 to 44 years,188.4.10,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,45 to 54 years,188.4.11,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,55 to 64 years,188.4.12,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,65 years and over,188.4.13,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,65 to 74 years,188.4.14,0,,0,,0,
2021,Steady Brook,2021A00051005011,Unemployed,75 years and over,188.4.15,0,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,Total - Age,188.5.1,165,,70,,95,
2021,Steady Brook,2021A00051005011,Not in the labour force,15 to 24 years,188.5.2,0,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,15 to 19 years,188.5.3,0,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,20 to 24 years,188.5.4,0,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,25 to 64 years,188.5.5,45,,15,,35,
2021,Steady Brook,2021A00051005011,Not in the labour force,25 to 54 years,188.5.6,15,,10,,10,
2021,Steady Brook,2021A00051005011,Not in the labour force,25 to 34 years,188.5.7,10,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,25 to 29 years,188.5.8,10,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,30 to 34 years,188.5.9,0,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,35 to 44 years,188.5.10,0,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,45 to 54 years,188.5.11,0,,0,,0,
2021,Steady Brook,2021A00051005011,Not in the labour force,55 to 64 years,188.5.12,30,,10,,25,
2021,Steady Brook,2021A00051005011,Not in the labour force,65 years and over,188.5.13,110,,60,,50,
2021,Steady Brook,2021A00051005011,Not in the labour force,65 to 74 years,188.5.14,70,,40,,35,
2021,Steady Brook,2021A00051005011,Not in the labour force,75 years and over,188.5.15,40,,20,,20,
2021,Steady Brook,2021A00051005011,Participation rate,Total - Age,188.6.1,54.9,,57.6,,53.8,
2021,Steady Brook,2021A00051005011,Participation rate,15 to 24 years,188.6.2,66.7,,0.0,,60.0,
2021,Steady Brook,2021A00051005011,Participation rate,15 to 19 years,188.6.3,100.0,,0.0,,66.7,
2021,Steady Brook,2021A00051005011,Participation rate,20 to 24 years,188.6.4,100.0,,0.0,,100.0,
2021,Steady Brook,2021A00051005011,Participation rate,25 to 64 years,188.6.5,75.7,,81.3,,70.0,
2021,Steady Brook,2021A00051005011,Participation rate,25 to 54 years,188.6.6,87.0,,90.9,,91.7,
2021,Steady Brook,2021A00051005011,Participation rate,25 to 34 years,188.6.7,66.7,,66.7,,100.0,
2021,Steady Brook,2021A00051005011,Participation rate,25 to 29 years,188.6.8,50.0,,66.7,,0.0,
2021,Steady Brook,2021A00051005011,Participation rate,30 to 34 years,188.6.9,100.0,,0.0,,100.0,
2021,Steady Brook,2021A00051005011,Participation rate,35 to 44 years,188.6.10,100.0,,100.0,,100.0,
2021,Steady Brook,2021A00051005011,Participation rate,45 to 54 years,188.6.11,88.9,,75.0,,100.0,
2021,Steady Brook,2021A00051005011,Participation rate,55 to 64 years,188.6.12,53.8,,80.0,,44.4,
2021,Steady Brook,2021A00051005011,Participation rate,65 years and over,188.6.13,21.4,,26.7,,16.7,
2021,Steady Brook,2021A00051005011,Participation rate,65 to 74 years,188.6.14,25.0,,27.3,,25.0,
2021,Steady Brook,2021A00051005011,Participation rate,75 years and over,188.6.15,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Employment rate,Total - Age,188.7.1,49.3,,48.5,,48.7,
2021,Steady Brook,2021A00051005011,Employment rate,15 to 24 years,188.7.2,50.0,,0.0,,60.0,
2021,Steady Brook,2021A00051005011,Employment rate,15 to 19 years,188.7.3,66.7,,0.0,,66.7,
2021,Steady Brook,2021A00051005011,Employment rate,20 to 24 years,188.7.4,100.0,,0.0,,100.0,
2021,Steady Brook,2021A00051005011,Employment rate,25 to 64 years,188.7.5,70.3,,75.0,,65.0,
2021,Steady Brook,2021A00051005011,Employment rate,25 to 54 years,188.7.6,82.6,,81.8,,83.3,
2021,Steady Brook,2021A00051005011,Employment rate,25 to 34 years,188.7.7,66.7,,66.7,,100.0,
2021,Steady Brook,2021A00051005011,Employment rate,25 to 29 years,188.7.8,50.0,,66.7,,0.0,
2021,Steady Brook,2021A00051005011,Employment rate,30 to 34 years,188.7.9,100.0,,0.0,,100.0,
2021,Steady Brook,2021A00051005011,Employment rate,35 to 44 years,188.7.10,77.8,,80.0,,75.0,
2021,Steady Brook,2021A00051005011,Employment rate,45 to 54 years,188.7.11,88.9,,75.0,,100.0,
2021,Steady Brook,2021A00051005011,Employment rate,55 to 64 years,188.7.12,53.8,,80.0,,44.4,
2021,Steady Brook,2021A00051005011,Employment rate,65 years and over,188.7.13,17.9,,20.0,,16.7,
2021,Steady Brook,2021A00051005011,Employment rate,65 to 74 years,188.7.14,20.0,,18.2,,25.0,
2021,Steady Brook,2021A00051005011,Employment rate,75 years and over,188.7.15,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,Total - Age,188.8.1,12.8,,15.8,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,15 to 24 years,188.8.2,50.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,15 to 19 years,188.8.3,66.7,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,20 to 24 years,188.8.4,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,25 to 64 years,188.8.5,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,25 to 54 years,188.8.6,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,25 to 34 years,188.8.7,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,25 to 29 years,188.8.8,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,30 to 34 years,188.8.9,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,35 to 44 years,188.8.10,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,45 to 54 years,188.8.11,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,55 to 64 years,188.8.12,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,65 years and over,188.8.13,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,65 to 74 years,188.8.14,0.0,,0.0,,0.0,
2021,Steady Brook,2021A00051005011,Unemployment rate,75 years and over,188.8.15,0.0,,0.0,,0.0,
2021,Pasadena,2021A00051005012,Total - Labour force status,Total - Age,189.1.1,2985,,1445,,1545,
2021,Pasadena,2021A00051005012,Total - Labour force status,15 to 24 years,189.1.2,390,,210,,185,
2021,Pasadena,2021A00051005012,Total - Labour force status,15 to 19 years,189.1.3,220,,125,,100,
2021,Pasadena,2021A00051005012,Total - Labour force status,20 to 24 years,189.1.4,170,,85,,85,
2021,Pasadena,2021A00051005012,Total - Labour force status,25 to 64 years,189.1.5,1720,,815,,905,
2021,Pasadena,2021A00051005012,Total - Labour force status,25 to 54 years,189.1.6,1135,,550,,580,
2021,Pasadena,2021A00051005012,Total - Labour force status,25 to 34 years,189.1.7,280,,150,,130,
2021,Pasadena,2021A00051005012,Total - Labour force status,25 to 29 years,189.1.8,85,,45,,35,
2021,Pasadena,2021A00051005012,Total - Labour force status,30 to 34 years,189.1.9,195,,105,,95,
