CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
Saint-Ludger-de-Milot,2493080,51.2821,50.7692
Saguenay,2494068,53.0212,52.8209
Petit-Saguenay,2494205,52.7273,48.9362
L'Anse-Saint-Jean,2494210,56.0748,57.4468
Rivière-Éternité,2494215,52.381,50
Ferland-et-Boilleau,2494220,61.1111,65.3061
Saint-Félix-d'Otis,2494225,60.5505,59.596
Sainte-Rose-du-Nord,2494230,51.6129,53.8462
Saint-Fulgence,2494235,54.2289,53.7634
Saint-Honoré,2494240,53.7994,53.5144
Saint-David-de-Falardeau,2494245,56.3177,57.7689
Bégin,2494250,55.5556,55.2632
Saint-Ambroise,2494255,54.7074,54.5213
Saint-Charles-de-Bourget,2494260,55.5556,55.4054
Larouche,2494265,56.5476,57.4074
Lac-Ministuk,2494928,75,75
Tadoussac,2495005,44.3038,50
Sacré-Coeur,2495010,54.9133,56.8493
Les Bergeronnes,2495018,54.8387,56.6038
Les Escoumins,2495025,53.9394,52.9801
Longue-Rive,2495032,56.338,53.9683
Portneuf-sur-Mer,2495040,45.6522,39.0244
Forestville,2495045,52.4345,51.2195
Colombier,2495050,53.3333,50
Essipit,2495802,53.8462,54.1667
Baie-Trinité,2496005,51.4286,55.1724
Godbout,2496010,52.1739,60
Franquelin,2496015,61.5385,64
Baie-Comeau,2496020,50.9461,50.4111
Pointe-Lebel,2496025,48.9691,48.6631
Pointe-aux-Outardes,2496030,52.7397,52.5926
Chute-aux-Outardes,2496035,57.2519,57.6
Ragueneau,2496040,57.2727,55.5556
Pessamit,2496802,47.3988,44.2953
Rivière-aux-Outardes,2496902,57.1429,33.3333
Sept-Îles,2497007,52.9593,52.7722
Port-Cartier,2497022,52.5705,52.0426
Fermont,2497035,57.8397,58.2143
Schefferville,2497040,58.0645,58.6207
Uashat 27,2497802,46.9388,47.1264
Maliotenam,2497804,52.2523,50.5051
Kawawachikamach,2497806,47.9167,45.4545
Matimekosh,2497808,49.0566,48.9362
Lac-Walker,2497904,45.4545,50
Lac-Vacher,2497914,57.1429,28.5714
Blanc-Sablon,2498005,52.5,54.5455
Bonne-Espérance,2498010,57.7465,50.9434
Saint-Augustin,2498012,48.7179,46.6667
Gros-Mécatina,2498014,48.9362,42.8571
Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,53.9326,51.3158
L'Île-d'Anticosti,2498020,56.5217,55.5556
Natashquan,2498025,45.7143,45.1613
Aguanish,2498030,44,41.6667
Baie-Johan-Beetz,2498035,50,50
Havre-Saint-Pierre,2498040,50.7508,49.8392
Longue-Pointe-de-Mingan,2498045,53.0612,54.1667
Rivière-Saint-Jean,2498050,60,55
Rivière-au-Tonnerre,2498055,59.0909,55.5556
Nutashkuan,2498806,52.2222,48
Mingan,2498808,50,50
Lebel-sur-Quévillon,2499005,56.7568,55.814
Matagami,2499015,55.2448,57.3529
Chapais,2499020,56.25,56.6176
Chibougamau,2499025,52.3632,51.8758
Eeyou Istchee Baie-James,2499060,53.0435,53.5211
Kuujjuarapik,2499075,55.2239,50.8475
Umiujaq,2499080,46.1538,44.1176
Inukjuak,2499085,52.8926,53.211
Kangiqsualujjuaq,2499090,54.2169,53.4247
Kuujjuaq,2499095,48.2394,48.1618
Tasiujaq,2499100,38.7097,39.2857
Aupaluk,2499105,45.8333,50
Kangirsuk,2499110,53.7037,51.1111
Quaqtaq,2499115,48.7179,51.4286
Puvirnituq,2499120,48.125,47.619
Akulivik,2499125,54.7619,54.2857
Kangiqsujuaq,2499130,56.6265,56.1644
Salluit,2499135,55.6604,56.5217
Ivujivik,2499140,52.9412,51.8519
Waswanipi,2499802,54.0541,52.9412
Mistissini,2499804,49.226,48.8449
Waskaganish,2499806,45.6044,43.8272
Nemaska,2499808,49.3671,46.5753
Eastmain,2499810,47.0588,46.0526
Wemindji,2499812,47.1429,45.7364
Chisasibi,2499814,49.5169,48.8127
Whapmagoostui,2499816,51.6129,52.3256
Oujé-Bougoumou,2499818,50,50.8772
South Glengarry,3501005,52.491,53.3965
South Stormont,3501011,51.7639,52.5463
Cornwall,3501012,52.4372,53.1048
South Dundas,3501020,53.4047,54.2703
North Dundas,3501030,52.9757,53.5199
North Stormont,3501042,52.8894,53.6
North Glengarry,3501050,54.8515,54.9251
East Hawkesbury,3502001,54.4944,54.8485
Hawkesbury,3502008,51.2019,52.4457
Champlain,3502010,51.6627,52.129
Alfred and Plantagenet,3502023,52.6987,53.0398
The Nation,3502025,53.3031,53.4789
Clarence-Rockland,3502036,52.1254,52.4855
Casselman,3502044,52.657,53.5533
Russell,3502048,52.2132,52.34
Ottawa,3506008,51.2032,51.6314
Edwardsburgh/Cardinal,3507004,52.8,53.8235
Augusta,3507006,53.937,53.9773
Prescott,3507008,48.6726,49.8316
Elizabethtown-Kitley,3507014,51.5,52.1786
Brockville,3507015,50.4859,50.4483
Front of Yonge,3507017,51.9231,51.8987
Leeds and the Thousand Islands,3507021,53.7449,54.4622
Gananoque,3507024,50,50.2203
Westport,3507033,53.7037,56.8182
Rideau Lakes,3507040,51.506,51.6556
Athens,3507042,52.1595,52.6718
Merrickville-Wolford,3507052,50.9434,51.8771
North Grenville,3507065,53.072,53.3524
Montague,3509001,54.0342,53.4392
Smiths Falls,3509004,53.4913,52.8433
Drummond/North Elmsley,3509010,53.1737,53.8065
Tay Valley,3509015,52.0833,51.7021
Perth,3509021,48.3622,47.5664
Beckwith,3509024,53.373,54.0254
Carleton Place,3509028,50.2703,51.005
Mississippi Mills,3509030,51.897,52.7126
Lanark Highlands,3509039,52.0646,52.3715
Frontenac Islands,3510005,49.7238,51.2346
Kingston,3510010,49.8246,50.5029
South Frontenac,3510020,51.7597,51.5214
Central Frontenac,3510035,52.1851,51.1696
North Frontenac,3510045,56.4972,56.6879
Loyalist,3511005,51.3433,51.2566
Greater Napanee,3511015,50.8086,51.1541
Stone Mills,3511030,54.8309,55.1769
Addington Highlands,3511035,53.8043,52.5641
Tyendinaga,3512001,53.3058,53.5469
Deseronto,3512002,49.6644,50
Tyendinaga Mohawk Territory,3512004,49,49.1713
Belleville,3512005,50.943,51.7618
Quinte West,3512015,53.17,54.2655
Stirling-Rawdon,3512020,49.2843,49.7768
Centre Hastings,3512026,52.2042,53.0928
Tweed,3512030,53.7453,54.071
Madoc,3512036,57.2115,58.9189
Marmora and Lake,3512046,51.1905,51.2195
Tudor and Cashel,3512048,58.4906,60
Limerick,3512051,68,63.1579
Wollaston,3512054,51.8519,53.1915
Faraday,3512058,53.7313,53.6364
Bancroft,3512061,49.2013,48.7273
Carlow/Mayo,3512065,54.5455,55.6962
Hastings Highlands,3512076,51.6129,50.7937
Prince Edward County,3513020,51.2335,51.5519
Brighton,3514004,52.3364,52.4855
Cramahe,3514014,53.8931,53.6545
Hamilton,3514019,53.2773,53.81
Port Hope,3514020,50.6699,51.1644
Cobourg,3514021,50.1426,50.2604
Alnwick/Haldimand,3514024,52.005,53.4653
Alderville First Nation,3514027,51.0638,48.6486
Trent Hills,3514045,52.0548,52.6032
Asphodel-Norwood,3515003,52.0362,53.0151
Otonabee-South Monaghan,3515005,53.5714,54.1732
Hiawatha First Nation,3515008,40.625,44.4444
Cavan Monaghan,3515013,52.7805,53.0612
Peterborough,3515014,49.6236,50.0515
Selwyn,3515015,51.7778,52.1739
Curve Lake First Nation 35,3515019,50.5263,48.6842
Douro-Dummer,3515023,51.1053,52.6391
Havelock-Belmont-Methuen,3515030,53.6364,54.2105
North Kawartha,3515037,55.6522,55.2764
Trent Lakes,3515044,53.2609,53.2
Kawartha Lakes,3516010,52.8155,53.3488
Pickering,3518001,51.2988,51.6991
Ajax,3518005,50.9704,51.6213
Whitby,3518009,51.2718,51.6039
Oshawa,3518013,51.8903,52.7407
Clarington,3518017,51.3822,51.932
Scugog,3518020,52.6991,53.2398
Mississaugas of Scugog Island,3518022,66.6667,57.1429
Uxbridge,3518029,52.452,52.9795
Brock,3518039,53.431,53.9241
Vaughan,3519028,51.7339,52.6484
Markham,3519036,51.6521,52.543
Richmond Hill,3519038,51.8617,52.521
Whitchurch-Stouffville,3519044,51.7412,52.3162
Aurora,3519046,51.8199,52.7677
Newmarket,3519048,51.1079,51.8391
King,3519049,53.1292,53.9683
East Gwillimbury,3519054,52.3847,53.3393
Georgina,3519070,52.7568,53.3188
Chippewas of Georgina Island First Nation,3519076,43.4783,50
Toronto,3520005,51.1174,51.6394
Mississauga,3521005,52.6482,53.6635
Brampton,3521010,53.624,54.8394
Caledon,3521024,53.0134,53.9295
East Garafraxa,3522001,52.3952,53.1148
Amaranth,3522008,56.6,57.0485
Grand Valley,3522010,54.9107,56.1743
Mono,3522012,53.4682,54.7109
Orangeville,3522014,51.4166,52.8251
Mulmur,3522016,52.9703,53.8674
Melancthon,3522019,55.8739,56.5217
Shelburne,3522021,51.7745,53.0162
Puslinch,3523001,53.1144,54.432
Guelph,3523008,51.6012,52.2517
Guelph/Eramosa,3523009,53.2216,54.1841
Erin,3523017,53.8352,54.4892
Centre Wellington,3523025,52.039,52.5074
Mapleton,3523033,55.8397,56.5603
Minto,3523043,54.9946,55
Wellington North,3523050,55.0525,55.5077
Oakville,3524001,51.5615,52.4939
Burlington,3524002,51.3628,51.7906
Milton,3524009,52.515,53.5962
Halton Hills,3524015,52.4271,52.7582
Hamilton,3525005,51.9889,52.3424
Fort Erie,3526003,51.2821,52.2239
Port Colborne,3526011,52.3077,53.5557
Wainfleet,3526014,55.6962,56.9659
West Lincoln,3526021,53.1835,53.8462
Pelham,3526028,53.471,53.8945
Welland,3526032,51.035,52.0027
Thorold,3526037,50.5176,51.0274
Niagara Falls,3526043,51.4527,52.1697
Niagara-on-the-Lake,3526047,53.9204,54.5777
St. Catharines,3526053,51.084,51.7083
Lincoln,3526057,52.9256,54.2726
Grimsby,3526065,51.1068,51.9594
Haldimand County,3528018,52.38,53.0946
New Credit (Part) 40A,3528035,40,40
Norfolk County,3528052,53.5031,54.0588
Brant,3529005,53.0126,53.2759
Brantford,3529006,52.1648,53.0387
New Credit (Part) 40A,3529021,51.2821,48.3871
North Dumfries,3530004,52.7061,52.6978
Cambridge,3530010,52.8835,53.6867
Kitchener,3530013,52.9475,53.7623
Waterloo,3530016,53.8701,54.8837
Wilmot,3530020,51.8436,52.1429
Wellesley,3530027,56.1678,57.1918
Woolwich,3530035,52.8928,53.7956
Stratford,3531011,51.6585,51.8435
Perth South,3531013,54.102,55.6086
St. Marys,3531016,52.3161,52.8788
West Perth,3531025,52.2461,52.9291
Perth East,3531030,56.1099,56.1747
North Perth,3531040,55.1243,55.4984
Norwich,3532002,56.309,57.0377
Tillsonburg,3532004,51.6687,52.4291
South-West Oxford,3532012,55.1046,55.6
Ingersoll,3532018,51.5067,51.634
Zorra,3532027,54.5913,55.4217
East Zorra-Tavistock,3532038,54.2793,54.6651
Woodstock,3532042,53.0176,53.3
Blandford-Blenheim,3532045,54.4715,54.7382
Bayham,3534005,58.1649,60.8696
Malahide,3534010,58.447,59.1581
Aylmer,3534011,54.4338,55.7576
Central Elgin,3534020,51.3311,51.6956
St. Thomas,3534021,50.8129,51.0522
Southwold,3534024,53.0957,54.5648
Dutton/Dunwich,3534030,53.1111,53.1863
West Elgin,3534042,55.8882,56.5121
Chatham-Kent,3536020,52.5918,52.9378
Moravian 47,3536029,34.7826,36.3636
Pelee,3537001,56,61.9048
Leamington,3537003,57.5848,58.4647
Kingsville,3537013,53.2303,53.7623
Essex,3537016,52.6118,53.3082
Amherstburg,3537028,52.371,52.741
LaSalle,3537034,51.5956,51.634
Windsor,3537039,54.1027,54.2226
Tecumseh,3537048,51.2311,51.2475
Lakeshore,3537064,53.7161,53.881
St. Clair,3538003,53.7642,54.7082
Dawn-Euphemia,3538007,57.0732,56.9149
Brooke-Alvinston,3538015,57.5,56.8807
Enniskillen,3538016,56.0137,57.2464
Oil Springs,3538018,56.5217,56.0606
Petrolia,3538019,50.3636,50
Sarnia 45,3538025,48.9796,48.7805
Sarnia,3538030,52.0127,52.8256
Point Edward,3538031,47.2527,46.5409
Plympton-Wyoming,3538035,53.799,54.5695
Lambton Shores,3538040,53.3777,54.1053
Warwick,3538043,55.9367,56.8116
Kettle Point 44,3538056,51.2195,52.2388
Newbury,3539002,53.1915,55.814
Southwest Middlesex,3539005,55.5556,56.4486
Strathroy-Caradoc,3539015,53.4169,53.7472
Munsee-Delaware Nation 1,3539018,60,55.5556
Thames Centre,3539027,53.1514,53.5538
Middlesex Centre,3539033,52.4615,53.1502
London,3539036,51.9957,52.5747
North Middlesex,3539041,54.0146,54.9296
Adelaide-Metcalfe,3539047,55.9172,55.836
Lucan Biddulph,3539060,53.3019,54.0678
South Huron,3540005,53.1893,54.6369
Bluewater,3540010,54.8429,55.7719
Central Huron,3540025,53.3079,53.7313
Goderich,3540028,52.0803,53.3228
Huron East,3540040,52.9291,53.7954
Howick,3540046,54.5024,55.3922
Morris-Turnberry,3540050,52.5199,52.5
North Huron,3540055,54.2533,55.0515
Ashfield-Colborne-Wawanosh,3540063,53.5262,54.771
South Bruce,3541004,53.13,54.3739
Huron-Kinloss,3541015,54.4568,54.5455
Kincardine,3541024,53.6752,54.7064
Brockton,3541032,54.5641,54.5455
Arran-Elderslie,3541043,53.2097,54.7692
Saugeen Shores,3541045,53.0571,54.2836
South Bruce Peninsula,3541055,52.2755,52.3745
Saugeen 29,3541057,53.4483,52.0833
Neyaashiinigmiing 27,3541060,47.619,50
Northern Bruce Peninsula,3541069,52.809,54.4304
West Grey,3542004,53.9695,54.6733
Southgate,3542005,56.3152,57.2864
Grey Highlands,3542015,56.0621,56.9038
Hanover,3542029,52.3743,53.2407
Chatsworth,3542037,55.1674,55.6962
The Blue Mountains,3542045,51.5118,52.3869
Meaford,3542047,50.9294,51.7598
Georgian Bluffs,3542053,53.79,53.9
Owen Sound,3542059,49.2339,49.9137
Adjala-Tosorontio,3543003,54.311,54.6501
Clearview,3543005,53.0774,53.9031
New Tecumseth,3543007,53.2574,54.5541
Springwater,3543009,53.6816,54.936
Bradford West Gwillimbury,3543014,53.7793,55.0465
Severn,3543015,53.0749,53.438
Innisfil,3543017,53.088,54.2216
Ramara,3543019,52.9526,53.3333
Essa,3543021,53.729,54.8754
Oro-Medonte,3543023,53.013,54.4333
Collingwood,3543031,50.5952,51.4871
Barrie,3543042,51.9396,52.9487
Chippewas of Rama First Nation,3543050,44.5652,48.4848
Orillia,3543052,50.0161,50.6444
Wasaga Beach,3543064,51.5196,52.9311
Tiny,3543068,53.7252,54.2563
Christian Island 30,3543069,48.3871,47.0588
Tay,3543071,53.4387,53.3403
Penetanguishene,3543072,51.5489,51.4006
Midland,3543074,49.053,48.9146
Gravenhurst,3544002,51.2842,50.8134
Bracebridge,3544018,50.9017,50.969
Lake of Bays,3544027,52.4934,51.7647
Huntsville,3544042,52.1186,53.023
Muskoka Lakes,3544053,56.4895,57.4176
Georgian Bay,3544065,60.1974,60.6618
Moose Point 79,3544073,35.7143,45.4545
Highlands East,3546005,52.669,51.6667
Minden Hills,3546015,52.3256,52.0599
Algonquin Highlands,3546018,55.8824,55.2486
Dysart et al,3546024,50.2385,50
Arnprior,3547002,52.4571,52.7708
McNab/Braeside,3547003,53.5714,54.3478
Greater Madawaska,3547008,56.7347,55.9091
"Brudenell, Lyndoch and Raglan",3547020,49.6124,50.9615
Madawaska Valley,3547030,55.3746,56.1151
"Killaloe, Hagarty and Richards",3547033,53.0806,54.1436
Bonnechere Valley,3547035,52.9231,53.8721
Pikwakanagan (Golden Lake 39),3547037,48.7179,45.7143
Admaston/Bromley,3547043,51.7028,52.3179
Horton,3547046,53.3951,53.5117
Renfrew,3547048,52.0059,52.3256
Whitewater Region,3547056,53.4009,54.0031
Pembroke,3547064,50.487,50.2317
North Algona Wilberforce,3547070,55.8528,56.2738
Laurentian Valley,3547075,53.0146,53.4857
Petawawa,3547076,56.095,57.7465
Laurentian Hills,3547090,55.1471,55.642
Deep River,3547096,53.3149,54.5994
"Head, Clara and Maria",3547098,58.3333,50
South Algonquin,3548001,59.3407,57.1429
Papineau-Cameron,3548013,50.5155,53.5714
Mattawan,3548019,42.8571,33.3333
Mattawa,3548021,49.6403,49.5652
Calvin,3548022,52.9412,53.1915
Bonfield,3548027,53.9267,53.4091
Chisholm,3548031,50.7692,50
East Ferris,3548034,53.373,51.9651
North Bay,3548044,50.7768,51.2288
West Nipissing,3548055,52.2575,51.6698
Temagami,3548069,52.7778,46.5517
Bear Island 1,3548072,38.8889,41.6667
Nipissing 10,3548073,50.6849,50.8197
"Nipissing, Unorganized, South Part",3548091,40,60
"Nipissing, Unorganized, North Part",3548094,52.9412,54.4118
Seguin,3549003,53.8136,54.0909
The Archipelago,3549005,56.701,53.9326
McMurrich/Monteith,3549012,52,56.7164
Perry,3549014,50.4167,50.4587
Kearney,3549018,45.679,47.9452
Armour,3549019,57.2581,55.3398
Burk's Falls,3549022,56.5657,56.8182
Ryerson,3549024,61.2903,61.0169
McKellar,3549028,57.7982,58.5859
McDougall,3549031,53.9519,53.9924
Parry Sound,3549032,48.4502,47.5676
Carling,3549036,51.4286,53.0769
Whitestone,3549039,51.8072,53.9474
Magnetawan,3549043,52.7132,51.7241
Strong,3549046,50,47.5
Sundridge,3549048,51.5152,56.1404
Joly,3549051,44.4444,46.6667
Machar,3549054,56.0976,57.8947
South River,3549056,51.6484,50.6667
Powassan,3549060,49.0385,48.7455
Callander,3549066,50.2525,49.5913
Nipissing,3549071,55.5556,55.3191
Shawanaga 17,3549072,46.1538,50
Parry Island First Nation,3549073,48.2759,45.8333
French River 13,3549076,40,44.4444
Dokis 9,3549077,42.8571,35.7143
Magnetewan 1,3549078,33.3333,33.3333
"Parry Sound, Unorganized, North East Part",3549095,50,55.5556
"Parry Sound, Unorganized, Centre Part",3549096,57.3034,54.9669
Tehkummah,3551001,57.1429,58.1395
Central Manitoulin,3551006,49.1713,50.6024
Assiginack,3551011,55.3191,55.0562
Northeastern Manitoulin and the Islands,3551017,50.7937,50.4425
Billings,3551021,49.0909,54.3478
Gore Bay,3551026,51.087,51.8519
Gordon/Barrie Island,3551027,55.3191,53.4884
Burpee and Mills,3551028,59.375,53.3333
Whitefish River 4,3551040,43.2432,41.9355
Sucker Creek 23,3551041,54.5455,46.1538
Sheguiandah 24,3551042,63.6364,60
Wikwemikong Unceded,3551043,46.7742,45.9627
Sheshegwaning 20,3551044,45.4545,40
M'Chigeeng 22,3551045,49.2537,45.7627
"Manitoulin, Unorganized, West Part",3551094,46.6667,40
Zhiibaahaasing 19A,3551100,0,0
French River,3552001,54.3651,53.9171
St.-Charles,3552004,53.6364,53.3981
Markstay-Warren,3552013,53.5156,53.6797
Sables-Spanish Rivers,3552023,55.5147,54.7325
Espanola,3552026,51.9737,51.6908
Baldwin,3552028,53.3333,51.2195
Nairn and Hyman,3552031,52.6316,55.5556
Killarney,3552036,51.7241,52
Whitefish Lake 6,3552051,52.5,50
Mattagami 71,3552052,47.0588,53.3333
Duck Lake 76B,3552054,50,60
Chapleau Cree Fox Lake,3552056,57.1429,57.1429
Chapleau,3552092,50.7937,53.1073
"Sudbury, Unorganized, North Part",3552093,52.8,54.4248
Greater Sudbury,3553005,51.8929,52.2143
Wahnapitei 11,3553040,45.4545,44.4444
Coleman,3554001,54.1667,51.1628
Latchford,3554006,42.8571,36.8421
Cobalt,3554008,50,47.2973
Harris,3554014,50,50
Temiskaming Shores,3554020,50.8455,51.1487
Hudson,3554021,55.3571,57.6923
Kerns,3554024,54.2857,55.8824
Harley,3554026,48.9362,52.2727
Casey,3554029,51.5152,51.5152
Brethour,3554032,60,75
Hilliard,3554034,70,61.1111
Armstrong,3554036,52.381,54.5455
Thornloe,3554038,75,75
James,3554042,64.7059,63.6364
Charlton and Dack,3554044,54.1176,54.4304
Evanturel,3554049,43.1373,45.6522
Englehart,3554052,55.1181,54.6218
Chamberlain,3554054,52.1739,57.8947
Matachewan,3554056,58.3333,60.8696
Matachewan 72,3554057,57.1429,66.6667
McGarry,3554058,53.1915,53.4884
Larder Lake,3554062,56.6667,54.5455
Gauthier,3554066,53.3333,50
Kirkland Lake,3554068,54.1908,53.4846
"Timiskaming, Unorganized, West Part",3554094,56.3863,55.6701
Black River-Matheson,3556014,55.5102,55.8036
Timmins,3556027,53.2604,53.8802
Iroquois Falls,3556031,50.5682,49.8392
Abitibi 70,3556033,56.25,41.6667
Cochrane,3556042,51.1202,51.663
Smooth Rock Falls,3556048,51.25,50.6849
Fauquier-Strickland,3556052,51.2821,45.7143
Moonbeam,3556056,56.701,59.7561
Kapuskasing,3556066,52.0451,52.2936
Val Rita-Harty,3556070,57.5,57.7465
Opasatika,3556073,50,50
Hearst,3556076,51.6966,51.9651
Mattice-Val Côté,3556077,60,58.3333
"Cochrane, Unorganized, North Part",3556092,54.5082,54.3779
Fort Albany (Part) 67,3556093,51.5152,50
Factory Island 1,3556094,51.4019,44.9438
Constance Lake 92,3556095,49.0909,38.6364
New Post 69A,3556102,58.3333,58.3333
Moosonee,3556106,42.5532,41.8605
Jocelyn,3557001,52.6316,52.6316
Hilton,3557004,61.5385,60.8696
Hilton Beach,3557006,47.619,47.0588
St. Joseph,3557008,53.2787,57.5472
Laird,3557011,57.1429,59.4059
Tarbutt and Tarbutt Additional,3557014,51.5625,51.6129
Johnson,3557016,49.3151,49.2958
Plummer Additional,3557019,59.7222,57.1429
Bruce Mines,3557021,51.2195,51.5152
Thessalon 12,3557026,45.4545,44.4444
Thessalon,3557028,54.1176,50.6849
Huron Shores,3557035,54.0881,53.1034
Blind River,3557038,50.3356,50.3817
Spanish,3557039,55.2632,50
The North Shore,3557040,52.2727,47.5
Elliot Lake,3557041,50.4937,48.6441
"Macdonald, Meredith and Aberdeen Additional",3557051,54,55.1471
Sault Ste. Marie,3557061,51.0312,51.1246
Prince,3557066,49,50.5747
Sagamok,3557071,46.2687,44.8276
Serpent River 7,3557072,41.6667,36.8421
Mississagi River 8,3557073,51.4286,53.3333
Garden River 14,3557074,47.6744,47.2973
Wawa,3557076,53.7102,53.125
Gros Cap 49,3557078,57.1429,60
Dubreuilville,3557079,58.6207,58.9286
White River,3557091,47.8873,46.9697
"Algoma, Unorganized, North Part",3557095,54.1516,55.3419
Hornepayne,3557096,62.8866,61.7978
Neebing,3558001,54.9356,56.872
Fort William 52,3558003,47.4576,46
Thunder Bay,3558004,51.0684,51.15
Oliver Paipoonge,3558011,52.3333,52.8986
Gillies,3558012,53.4884,55
O'Connor,3558016,58.6207,58.75
Conmee,3558019,53.4091,53.2468
Shuniah,3558028,55.0633,54.6713
Dorion,3558034,52.5,50
Red Rock,3558041,51.8519,52.7027
Nipigon,3558044,56.4885,55.2632
Schreiber,3558051,51.5789,53.4884
Terrace Bay,3558054,51.1278,50
Marathon,3558059,52.9968,53.1034
Pic Mobert North,3558060,50,66.6667
Pic Mobert South,3558061,70,75
Pic River 50,3558062,41.9355,37.037
Pays Plat 51,3558063,62.5,71.4286
Lake Helen 53A,3558064,47.3684,47.0588
Gull River 55,3558065,50,0
Manitouwadge,3558066,58.011,57.9618
Ginoogaming First Nation,3558067,62.5,71.4286
Long Lake 58,3558068,64.2857,61.5385
Rocky Bay 1,3558069,54.5455,33.3333
Greenstone,3558075,51.5385,51.831
Aroland,3558076,55.5556,44.4444
Ojibway Nation of Saugeen (Savant Lake),3558080,57.1429,40
Osnaburgh 63A,3558085,45.4545,50
"Thunder Bay, Unorganized",3558090,54.6099,54.0918
Whitesand,3558097,46.6667,50
Atikokan,3559001,49.7758,48.7923
Alberton,3559011,50.5618,50.6024
Fort Frances,3559012,50.271,49.7791
La Vallee,3559016,51.6129,50.5882
Emo,3559019,48.5075,48.7805
Chapple,3559024,49.4845,51.6129
Manitou Rapids 11,3559026,47.619,52.9412
Morley,3559031,64.1026,65.7143
Dawson,3559040,68.5714,68.75
Rainy River,3559042,52.2388,50
Lake of the Woods,3559047,50,52.9412
Big Grassy River 35G,3559051,52.6316,42.8571
Saug-A-Gaw-Sing 1,3559053,50,44.4444
Neguaguon Lake 25D,3559060,50,45.4545
Rainy Lake 18C,3559061,58.3333,62.5
Couchiching 16A,3559063,57.1429,56.25
Rainy Lake 26A,3559064,58.3333,50
Seine River 23A,3559066,44.4444,40
Rainy Lake 17A,3559068,54.5455,44.4444
"Rainy River, Unorganized",3559090,57.3643,57.6271
Ignace,3560001,55,55.1724
Whitefish Bay 32A,3560004,47.8261,50
Whitefish Bay 33A,3560005,50,33.3333
Sioux Narrows-Nestor Falls,3560008,52.6316,56.6667
Kenora,3560010,51.0006,50.0347
Machin,3560021,54.5455,53.9474
Eagle Lake 27,3560024,47.619,50
Dryden,3560027,52.4272,53.2526
Ear Falls,3560032,58.1818,58.7629
Sioux Lookout,3560034,49.5495,48.7261
Red Lake,3560042,54.1475,54.3689
Slate Falls,3560046,44.4444,50
Pickle Lake,3560049,50,55.5556
Attawapiskat 91A,3560051,54.1667,56.0606
Marten Falls 65,3560052,46.1538,55.5556
Fort Hope 64,3560053,49.1803,49.0909
Cat Lake 63C,3560054,46.1538,45.8333
Osnaburgh 63B,3560055,53.5714,50
Lac Seul 28,3560056,53.0303,50.8475
Wabigoon Lake 27,3560057,54.5455,54.5455
English River 21,3560058,43.2432,40
Weagamow Lake 87,3560059,47.6923,45.9016
Northwest Angle 33B,3560060,60,60
Wabaseemoong,3560061,50,51.1111
Sabaskong Bay 35D,3560063,48.3871,48.1481
Shoal Lake 34B2,3560064,80,80
Lake of the Woods 37,3560065,40,66.6667
Kenora 38B,3560066,58.6207,60.7143
Poplar Hill,3560067,54.8387,58.6207
Shoal Lake 39A,3560068,56.25,51.8519
Rat Portage 38A,3560069,57.1429,58.3333
Deer Lake,3560070,60.8696,58.3333
Sandy Lake 88,3560071,56,55.5556
Kitchenuhmaykoosib Aaki 84,3560075,54.902,57.4468
Sachigo Lake 1,3560076,55.5556,57.1429
Fort Severn 89,3560078,68.4211,66.6667
Webequie,3560079,44.4444,45.7143
North Spirit Lake,3560080,62.5,56.25
Shoal Lake (Part) 40,3560082,50,62.5
Whitefish Bay 34A,3560083,55.5556,50
Wabauskang 21,3560084,28.5714,28.5714
Wunnumin 1,3560085,53.6585,51.2821
Summer Beaver,3560086,46.6667,53.8462
Wapekeka 2,3560088,57.1429,55.5556
The Dalles 38C,3560089,41.6667,40
"Kenora, Unorganized",3560090,52.2885,51.4504
Peawanuck,3560091,67.8571,66.6667
Neskantaga,3560093,50,50
Bearskin Lake,3560095,51.3514,52.9412
Kasabonika Lake,3560096,58.7302,59.6491
Kingfisher Lake 1,3560098,52.5,51.3514
Kee-Way-Win,3560104,58.3333,52.381
Stuartburn,4601035,59.8726,62.5
Piney,4601039,55.7692,55.3191
Reynolds,4601043,56.6667,56.391
Whitemouth,4601046,58.6207,59.542
Pinawa,4601051,52.2523,49.5146
Lac du Bonnet,4601057,54.3165,54.3651
Lac du Bonnet,4601060,48.6486,47.0588
Buffalo Point 36,4601070,58.8235,60
Alexander,4601071,54.5455,52.3297
Powerview-Pine Falls,4601075,56.044,56.962
Victoria Beach,4601078,62.1622,65.7143
"Division No.  1, Unorganized",4601094,62.1951,60.5263
Emerson-Franklin,4602024,55.5066,55.814
Roseau Rapids 2A,4602026,40,66.6667
Roseau River 2,4602027,51.7241,50
De Salaberry,4602032,57.8804,58.0925
St-Pierre-Jolys,4602037,49,52.809
Hanover,4602041,58.7161,59.0937
Steinbach,4602044,54.6608,54.7689
Niverville,4602046,53.6892,54.1806
La Broquerie,4602053,55.9091,56.2701
Ste. Anne,4602057,57.2727,58.1213
Ste. Anne,4602061,51.2727,51.6
Taché,4602069,53.1368,53.6232
Ritchot,4602075,53.1765,54.0984
Montcalm,4603030,55.9055,54.0323
Altona,4603040,55.0868,55.643
